idbase,arrondissement,adresse,genre,espece,latitude,longitude
2038046,PARIS 20E ARRDT,JARDIN PIXERECOURT / 50 RUE PIXERECOURT,Prunus,serrulata,48.8733192,2.3961670
2051111,PARIS 19E ARRDT,ECOLE ELEMENTAIRE / 4 RUE FESSART,Prunus,x schmittii,48.8765815,2.3887185
200258,PARIS 15E ARRDT,CENTRE SPORTIF CHARLES RIGOULOT / 18 AVENUE DE LA PORTE BRANCION,Prunus,maackii,48.8263358,2.2993622
299854,PARIS 13E ARRDT,RUE SIMONE WEIL,Prunus,,48.8239314,2.3635631
164534,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 40,Prunus,avium,48.7636594,2.3767953
228283,PARIS 7E ARRDT,RUE ALLENT,Prunus,serrulata,48.8577006,2.3306434
2001703,PARIS 15E ARRDT,PROMENADE DU QUAI DE GRENELLE / 65 QUAI DE GRENELLE,Prunus,x subhirtella,48.8497035,2.2822507
295297,PARIS 5E ARRDT,RUE DE LA MONTAGNE SAINTE GENEVIEVE,Prunus,serrulata,48.8472776,2.3485650
165136,SEINE-SAINT-DENIS,CIMETIERE DE PANTIN / AVENUE DES MERISIERS / DIV 16,Prunus,,48.9057793,2.4020448
164449,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 28,Prunus,avium,48.7625549,2.3727004
2029028,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,serrula,48.8935639,2.3970330
2028993,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,x subhirtella,48.8931810,2.3967820
119945,PARIS 18E ARRDT,SQUARE LEON SERPOLLET / 156 RUE MARCADET,Prunus,,48.8919056,2.3392099
2042190,PARIS 18E ARRDT,PARC CHAPELLE CHARBON - 5Z RUE DE LA CROIX MOREAU,Prunus,mahaleb,48.8966510,2.3641068
164520,VAL-DE-MARNE,CIMETIERE DE THIAIS / AVENUE C / DIV 32,Prunus,avium,48.7635927,2.3762952
190639,PARIS 19E ARRDT,ECOLE ELEMENTAIRE B / 11 RUE RAMPAL,Prunus,x schmittii,48.8741230,2.3789196
262425,PARIS 16E ARRDT,BOULEVARD DE MONTMORENCY,Prunus,avium,48.8555782,2.2642980
236712,PARIS 14E ARRDT,AVENUE DE LA SIBELLE,Prunus,x subhirtella,48.8252893,2.3380386
189588,PARIS 17E ARRDT,CRECHE COLLECTIVE / 52-54 RUE NOLLET,Prunus,,48.8868788,2.3223064
2019157,PARIS 13E ARRDT,JARDIN DU MOULIN DE LA POINTE / 63 RUE DU MOULIN DE LA POINTE,Prunus,serrulata,48.8209629,2.3568631
126667,PARIS 15E ARRDT,PARC ANDRE CITROEN / 2 RUE DE LA MONTAGNE DE LA FAGE,Prunus,serrulata,48.8408544,2.2800498
189155,PARIS 19E ARRDT,ECOLE MATERNELLE / 6 PASSAGE DE THIONVILLE,Prunus,,48.8880889,2.3825148
2050329,PARIS 15E ARRDT,SQUARE NICOLE DE HAUTECLOCQUE / 1 VOIE CV/15,Prunus,x subhirtella,48.8523525,2.2940877
228007,PARIS 12E ARRDT,COULEE VERTE RENE DUMONT - MAIL DE REUILLY / ALLEE VIVALDI,Prunus,serrula,48.8412982,2.3921256
190483,PARIS 19E ARRDT,ECOLE MATERNELLE / 11 RUE GEORGES THILL,Prunus,serrulata,48.8866063,2.3886778
120395,PARIS 18E ARRDT,SQUARE DE LA RUE HENRI HUCHARD / 25 RUE LOUIS PASTEUR VALLERY RADOT,Prunus,,48.8992875,2.3310933
228258,PARIS 18E ARRDT,RUE DU BAIGNEUR,Prunus,,48.8901562,2.3454469
117787,PARIS 11E ARRDT,SQUARE OLGA BANCIC / 34 RUE GODEFROY CAVAIGNAC,Prunus,serrulata,48.8562732,2.3808908
2029035,PARIS 19E ARRDT,CENTRE SPORTIF JULES LADOUMEGUE / 35 ROUTE DES PETITS PONTS,Prunus,serrula,48.8935538,2.3972179
